date,Inflation,GDP,Unemployment Rate
2023-01-01,5.69115300971441,105435039507024.0,4.96143065047416
2022-01-01,7.96757361617945,101225059591363.0,5.26461597288318
2021-01-01,3.46692585313082,97527032881901.1,6.03376129229279
2020-01-01,1.9209680056685,85577718250195.5,6.58528753143071
2019-01-01,2.20607305781525,87945574337517.8,5.5829801043763
2018-01-01,2.45036243850175,86686870786621.5,5.75639790322219
2017-01-01,2.25427651934813,81550955754739.3,5.91614141999205
2016-01-01,1.60553917414213,76588030455295.5,6.01033134504685
2015-01-01,1.44385719270808,75359657218242.5,6.04884902024337
2014-01-01,2.35449052820358,79894385759929.2,6.01622857271861
2013-01-01,2.65167342916577,77751368312765.5,6.167133899401
2012-01-01,3.72532666110646,75603976718162.8,6.22827279799595
2011-01-01,4.82239636013325,73957792909770.5,6.24048204330454
2010-01-01,3.32634463368643,66514174634776.0,6.38946472723596
2009-01-01,2.86044855902672,60718262754480.1,6.51468712239899
2008-01-01,8.94995335353387,64072295929643.4,5.93669404614037
2007-01-01,4.81023704342912,58314867929879.6,5.89967661605856
2006-01-01,4.26717463390264,51749808632586.7,6.10658593841064
2005-01-01,4.10725070715931,47760320738747.8,6.36646521138731
2004-01-01,3.51799903099596,44116244570755.0,6.44967688536565
2003-01-01,3.02504526252236,39152139289705.4,6.5712830050912
2002-01-01,2.90799857032207,34917697037982.8,6.46830810118524
2001-01-01,3.83657262052543,33626960202657.6,6.22346830929282
2000-01-01,3.43351563418767,33839387350047.3,6.13111802117014
1999-01-01,3.04194667094533,32730998280081.1,6.26552753794956
1998-01-01,5.09729149331441,31697043749659.3,6.12523068040456
1997-01-01,5.55412988949405,31752297154746.4,5.95403565786869
1996-01-01,6.5260956937258,31857694101272.1,5.90867792430197
1995-01-01,9.07738095238091,31140610056946.1,5.82078571324882
1994-01-01,10.2479355556119,27938851279645.6,5.66775406003629
1993-01-01,7.14458706876256,25959419035161.3,5.41783709780902
1992-01-01,7.63610852336974,25468013295178.4,5.14993854227532
1991-01-01,8.99693873494331,23823551632893.9,4.99634037189047
1990-01-01,8.06346090938833,22822610047367.9,
1989-01-01,6.92390503711238,20324144454836.4,
1988-01-01,7.11340652931347,19547533420110.2,
1987-01-01,5.71011938486679,17485079208341.4,
